,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
1613,4009,09/11/2010,2010,1, Miami (Ohio), Eastern Michigan,28,21, Miami (Ohio),7,8,-8,-5,-3,0.0,-4.0,-92.0,3.0,25.0,5.0,115.0,64.0,-4.0,-2.0,-9.0
1614,4016,09/11/2010,2010,1, Nebraska, Idaho,38,17, Nebraska,21,4,-3,0,0,2.0,-8.0,-108.0,7.0,108.0,3.0,300.0,-248.0,1.0,-4.0,-21.0
1615,4017,09/11/2010,2010,1, Northwestern, Illinois State,37,3, Northwestern,34,5,-1,1,1,0.0,3.0,100.0,2.0,25.0,20.0,71.0,448.0,0.0,-3.0,-5.0
1616,4025,09/11/2010,2010,1, Missouri, McNeese State,50,6, Missouri,44,0,-5,-2,-1,0.0,11.0,65.0,3.0,14.0,-3.0,128.0,-96.0,-2.0,-3.0,8.0
1617,4026,09/11/2010,2010,1, East Carolina, Memphis,49,27, East Carolina,22,6,0,2,1,-2.0,7.0,-60.0,-2.0,-25.0,0.0,72.0,-140.0,0.0,-1.0,9.0
1618,4027,09/11/2010,2010,1, Ohio State, Miami (Florida),36,24, Ohio State,12,5,3,-1,1,0.0,-10.0,1.0,-6.0,-34.0,21.0,61.0,142.0,-1.0,-4.0,-11.0
1619,4028,09/11/2010,2010,1, Florida Atlantic, Michigan State,17,30, Michigan State,-13,-3,9,6,2,0.0,15.0,114.0,7.0,42.0,4.0,-180.0,906.0,2.0,-1.0,20.0
1620,4029,09/11/2010,2010,1, Notre Dame, Michigan,24,28, Michigan,-4,-1,-2,1,-1,0.0,-3.0,137.0,-4.0,-70.0,-9.0,-134.0,-498.0,-1.0,3.0,4.0
1621,4030,09/11/2010,2010,1, Tulane, Mississippi,13,27, Mississippi,-14,2,-1,-2,-1,2.0,6.0,-64.0,-4.0,-50.0,-8.0,2.0,-144.0,0.0,-1.0,9.0
1622,4031,09/11/2010,2010,1, Washington State, Montana State,23,22, Washington State,1,-3,2,1,1,2.0,-8.0,-80.0,3.0,35.0,6.0,-11.0,-138.0,2.0,-2.0,-10.0
1623,4033,09/11/2010,2010,1, Utah, UNLV,38,10, Utah,28,-1,-9,-4,-1,0.0,-5.0,-10.0,0.0,29.0,-14.0,29.0,-786.0,-3.0,0.0,-17.0
1624,4035,09/11/2010,2010,1, Western Michigan, Nicholls State,49,14, Western Michigan,35,5,6,8,1,-2.0,15.0,226.0,0.0,-25.0,15.0,17.0,470.0,3.0,1.0,14.0
1625,4039,09/11/2010,2010,1, Tennessee, Oregon,13,48, Oregon,-35,-7,3,-3,-1,-1.0,-2.0,-51.0,1.0,22.0,-8.0,-63.0,146.0,0.0,1.0,-3.0
1626,4041,09/11/2010,2010,1, Southern Mississippi, Prairie View,34,7, Southern Mississippi,27,6,-1,5,-1,0.0,3.0,67.0,1.0,8.0,20.0,186.0,268.0,-1.0,0.0,-6.0
